cffec34a-69f1-147b-2b5d-45398854f801;Aspidosperma polyneuron;Plantae;Magnoliophyta;Equisetopsida;Gentianales;Apocynaceae;Aspidosperma;polyneuron;especie;No disponible;Carreto, Carreto blanco, Costillo, Costillo acanalado, Comulá, Cumulá, Quimulá
cffec34a-69f1-147b-2b5d-45398854f802;Ceiba samauna;Plantae;Magnoliophyta;Equisetopsida;Malvales;Bombacaeae;Ceiba;samauna;especie;No disponible;Volador
cffec34a-69f1-147b-2b5d-45398854f803;Huberodendron patinoi;Plantae;Magnoliophyta;Equisetopsida;Malvales;Bombacaeae;Huberodendron;patinoi;especie;No disponible;Carrá
cffec34a-69f1-147b-2b5d-45398854f804;Pachira quinata;Plantae;Magnoliophyta;Equisetopsida;Malvales;Bombacaeae;Pachira;quinata;especie;No disponible;Ceiba Toluá
cffec34a-69f1-147b-2b5d-45398854f805;Caryocar amygdaliferun;Plantae;Magnoliophyta;Equisetopsida;Malpighiales;Caryocaraceae;Caryocar;amygdaliferun;especie;No disponible;No disponible
cffec34a-69f1-147b-2b5d-45398854f806;Libidibia ebano;Plantae;Magnoliophyta;Equisetopsida;Fabales;Fabaceae;Libidibia;ebano;especie;No disponible;Ébano
cffec34a-69f1-147b-2b5d-45398854f807;Mora oleifera;Plantae;Magnoliophyta;Equisetopsida;Fabales;Fabaceae;Mora;oleifera;especie;No disponible;Nato
cffec34a-69f1-147b-2b5d-45398854f808;Orphanodendron bernalli;Plantae;Magnoliophyta;Equisetopsida;Fabales;Fabaceae;Orphanodendron;bernalli;especie;No disponible;Tirateté
cffec34a-69f1-147b-2b5d-45398854f809;Peltogyne purpurea;Plantae;Magnoliophyta;Equisetopsida;Fabales;Fabaceae;Peltogyne;purpurea;especie;No disponible;Nazareno
cffec34a-69f1-147b-2b5d-45398854f810;Prioria copaifera;Plantae;Magnoliophyta;Equisetopsida;Fabales;Fabaceae;Prioria;copaifera;especie;No disponible;Cativo
cffec34a-69f1-147b-2b5d-45398854f811;Clathrotronpis brunnea;Plantae;Magnoliophyta;Equisetopsida;Fabales;Fabaceae;Clathrotronpis;brunnea;especie;No disponible;Sapán
cffec34a-69f1-147b-2b5d-45398854f812;Dipteryx oleifera;Plantae;Magnoliophyta;Equisetopsida;Fabales;Fabaceae;Dipteryx;oleifera;especie;No disponible;Choibá
cffec34a-69f1-147b-2b5d-45398854f813;Colombobalanus excelsa;Plantae;Magnoliophyta;Equisetopsida;Fagales;Fagaceae;Colombobalanus;excelsa;especie;No disponible;Roble negro
cffec34a-69f1-147b-2b5d-45398854f814;Quercus humboldtii;Plantae;Magnoliophyta;Equisetopsida;Fagales;Fagaceae;Quercus;humboldtii;especie;No disponible;Roble
cffec34a-69f1-147b-2b5d-45398854f815;Humiriastrun procerum;Plantae;Magnoliophyta;Equisetopsida;Malpighiales;Humiriaceae;Humiriastrun;procerum;especie;No disponible;Chanul
cffec34a-69f1-147b-2b5d-45398854f816;Juglans neotropica;Plantae;Magnoliophyta;Equisetopsida;Fagales;Juglandaceae;Juglans;neotropica;especie;No disponible;Nogal
cffec34a-69f1-147b-2b5d-45398854f817;Aniba perutilis;Plantae;Magnoliophyta;Equisetopsida;Laurales;Lauraceae;Aniba;perutilis;especie;No disponible;Comino
cffec34a-69f1-147b-2b5d-45398854f818;Aniba rosaeodora;Plantae;Magnoliophyta;Equisetopsida;Laurales;Lauraceae;Aniba;rosaeodora;especie;No disponible;Palo de Rosa
cffec34a-69f1-147b-2b5d-45398854f819;Caryodaphnopsis cogolloi;Plantae;Magnoliophyta;Equisetopsida;Laurales;Lauraceae;Caryodaphnopsis;cogolloi;especie;No disponible;Yumbé
cffec34a-69f1-147b-2b5d-45398854f820;Ocotea quixos;Plantae;Magnoliophyta;Equisetopsida;Laurales;Lauraceae;Ocotea;quixos;especie;No disponible;Canelo de los Andaquíes
cffec34a-69f1-147b-2b5d-45398854f821;Cedrela odorata;Plantae;Magnoliophyta;Equisetopsida;Sapindales;Meliaceae;Cedrela;odorata;especie;No disponible;Caoba
cffec34a-69f1-147b-2b5d-45398854f822;Swietenia macrophylla;Plantae;Magnoliophyta;Equisetopsida;Sapindales;Meliaceae;Swietenia;macrophylla;especie;No disponible;Cedro
cffec34a-69f1-147b-2b5d-45398854f823;Isidodendron tripterocarpum;Plantae;Magnoliophyta;Equisetopsida;Malpighiales;Trigoniaceae;Isidodendron;tripterocarpum;especie;No disponible;Marfil
cffec34a-69f1-147b-2b5d-45398854f824;Guaiacum officinale;Plantae;Magnoliophyta;Equisetopsida;Zygophyllales;Zygophyllaceae;Guaiacum;officinale;especie;No disponible;Guayacán, Guayacán de playa, Guayacán extranjero, Guayacán negro, Guayaco, Palosanto y Florazul
cffec34a-69f1-147b-2b5d-45398854f825;Bulnesia arborea;Plantae;Magnoliophyta;Equisetopsida;Zygophyllales;Zygophyllaceae;Bulnesia;arborea;especie;No disponible;Guayacán, Guayacán de bola, Guayacán garrapo
